sku,model_name,reason,segment,strategy,selected_at,candidate_scores
Bacon,Gradient Boosting,"Demand is stable (coefficient of variation 0.30, 2% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Burger Buns,Gradient Boosting,"Demand is stable (coefficient of variation 0.30, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",BX,rule,2025-07-01,{}
Butter,Gradient Boosting,"Demand is stable (coefficient of variation 0.29, 2% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",BX,rule,2025-07-01,{}
Cheese Slices,Gradient Boosting,"Demand is stable (coefficient of variation 0.29, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",BX,rule,2025-07-01,{}
Chicken Breast,Gradient Boosting,"Demand is stable (coefficient of variation 0.28, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Coffee Beans,Gradient Boosting,"Demand is stable (coefficient of variation 0.24, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Cooking Oil,Gradient Boosting,"Demand is stable (coefficient of variation 0.25, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Eggs,Gradient Boosting,"Demand is stable (coefficient of variation 0.26, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",CX,rule,2025-07-01,{}
Fries (Potatoes),Gradient Boosting,"Demand is stable (coefficient of variation 0.31, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Gluten-free Buns,Croston (SBA),"28% of days have no demand, above the 25% intermittency threshold. A Croston-family method forecasts the demand rate instead of fitting a curve through the zeros; the SBA variant removes the known upward bias of classic Croston.",CY,rule,2025-07-01,{}
Lettuce,Gradient Boosting,"Demand is stable (coefficient of variation 0.33, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Milk,Gradient Boosting,"Demand is stable (coefficient of variation 0.22, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Mushrooms,Gradient Boosting,"Demand is stable (coefficient of variation 0.35, 4% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",BX,rule,2025-07-01,{}
Onions,Gradient Boosting,"Demand is stable (coefficient of variation 0.26, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",CX,rule,2025-07-01,{}
Salmon Fillet,Gradient Boosting,"Demand is stable (coefficient of variation 0.36, 3% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Seasonal Berries,Croston (SBA),"41% of days have no demand, above the 25% intermittency threshold. A Croston-family method forecasts the demand rate instead of fitting a curve through the zeros; the SBA variant removes the known upward bias of classic Croston.",CZ,rule,2025-07-01,{}
Soft Drinks,Gradient Boosting,"Demand is stable (coefficient of variation 0.49, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Tomatoes,Gradient Boosting,"Demand is stable (coefficient of variation 0.31, 0% zero-demand days). The gradient-boosting model can use day of week, holidays, weather and recent demand for this SKU.",AX,rule,2025-07-01,{}
Truffle Oil,Croston (SBA),"45% of days have no demand, above the 25% intermittency threshold. A Croston-family method forecasts the demand rate instead of fitting a curve through the zeros; the SBA variant removes the known upward bias of classic Croston.",BZ,rule,2025-07-01,{}
Vegan Cheese,Croston (SBA),"32% of days have no demand, above the 25% intermittency threshold. A Croston-family method forecasts the demand rate instead of fitting a curve through the zeros; the SBA variant removes the known upward bias of classic Croston.",CY,rule,2025-07-01,{}
